triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.19000000000000009,-0.21906000000000023,-0.16262601600000032
-0.22000000000000008,-0.2334600000000003,-0.17358308800000036
-0.18000000000000005,-0.22056000000000028,-0.15628244800000032
-0.27800000000000014,-0.23960000000000028,-0.15449280000000032
-0.2440000000000001,-0.22964000000000026,-0.1460659200000003
-0.2240000000000001,-0.22356000000000026,-0.1505602560000003
-0.2640000000000001,-0.2347200000000003,-0.1460659200000003
-0.18600000000000005,-0.2084800000000002,-0.13876262400000028
-0.2440000000000001,-0.2523600000000003,-0.15842534400000033
-0.21800000000000008,-0.24604000000000031,-0.16909939200000035
-0.21400000000000008,-0.2396600000000003,-0.1522456320000003
-0.2500000000000001,-0.23044000000000028,-0.15215200000000031
-0.2620000000000001,-0.22224000000000022,-0.15683360000000032
-0.21400000000000008,-0.23068000000000025,-0.15215200000000031
-0.27200000000000013,-0.22576000000000024,-0.1445444000000003
-0.2580000000000001,-0.24240000000000025,-0.16502640000000035
-0.2440000000000001,-0.21440000000000026,-0.17614520000000036
-0.2560000000000001,-0.25022000000000033,-0.15858920000000035
-0.22000000000000008,-0.22056000000000026,-0.1482790400000003
-0.2320000000000001,-0.2514800000000003,-0.1438528000000003
-0.2340000000000001,-0.22580000000000022,-0.13666016000000028
-0.21200000000000008,-0.24052000000000026,-0.15602496000000032
-0.29000000000000015,-0.26236000000000037,-0.16653728000000034
-0.2060000000000001,-0.2449400000000002,-0.1499388800000003
-0.20800000000000007,-0.23292000000000035,-0.1482790400000003
-0.21800000000000008,-0.20808000000000024,-0.1408650880000003
-0.21600000000000008,-0.2254000000000002,-0.16082572800000033
-0.23000000000000012,-0.22304000000000027,-0.17166150400000035
-0.19000000000000006,-0.22446000000000027,-0.15455238400000032
-0.20200000000000007,-0.22372000000000025,-0.13666016000000028
-0.20800000000000007,-0.25220000000000026,-0.15602496000000032
-0.2580000000000001,-0.2377600000000003,-0.16653728000000034
-0.2660000000000001,-0.26090000000000035,-0.1499388800000003
-0.20600000000000007,-0.23496000000000025,-0.1482237120000003
-0.2480000000000001,-0.24400000000000024,-0.15821041600000033
-0.2320000000000001,-0.23246000000000028,-0.1424419360000003
-0.2540000000000001,-0.2596000000000003,-0.18062889600000037
-0.2660000000000001,-0.26594000000000034,-0.16262601600000035
-0.2480000000000001,-0.25678000000000034,-0.17358308800000036
-0.2640000000000001,-0.24530000000000032,-0.1573968000000003
-0.2500000000000001,-0.2428200000000003,-0.1488115200000003
-0.21800000000000008,-0.2453800000000003,-0.1533903360000003
-0.2540000000000001,-0.24198000000000028,-0.1488115200000003
-0.1920000000000001,-0.22282000000000024,-0.14137094400000028
-0.28600000000000014,-0.25030000000000036,-0.16140326400000032
-0.28400000000000014,-0.2641400000000003,-0.17227795200000035
-0.20400000000000007,-0.22944000000000028,-0.15510739200000032
-0.2400000000000001,-0.22806000000000023,-0.15501200000000032
-0.2320000000000001,-0.23346000000000025,-0.15978160000000033
-0.18800000000000006,-0.21294000000000018,-0.15501200000000032
-0.2460000000000001,-0.22598000000000026,-0.1472614000000003
-0.2440000000000001,-0.22446000000000021,-0.16812840000000034
-0.2140000000000001,-0.21630000000000024,-0.17945620000000037
-0.2380000000000001,-0.22500000000000026,-0.16157020000000033
-0.2260000000000001,-0.23742000000000024,-0.1510662400000003
-0.2500000000000001,-0.25322000000000033,-0.1465568000000003
-0.2520000000000001,-0.23990000000000025,-0.13922896000000026
-0.2500000000000001,-0.2395800000000003,-0.1589577600000003
-0.2640000000000001,-0.28206000000000037,-0.16966768000000035
-0.21600000000000008,-0.24088000000000032,-0.1527572800000003
-0.2300000000000001,-0.24498000000000023,-0.1510662400000003
-0.2320000000000001,-0.22906000000000026,-0.1435129280000003
-0.21000000000000008,-0.2374200000000003,-0.16384876800000034
-0.2560000000000001,-0.2577800000000004,-0.17488822400000034
-0.21200000000000008,-0.2258400000000003,-0.1574575040000003
-0.2440000000000001,-0.2279800000000002,-0.13922896000000026
-0.2540000000000001,-0.24310000000000026,-0.1589577600000003
-0.2320000000000001,-0.25010000000000027,-0.16966768000000035
-0.21200000000000008,-0.24908000000000036,-0.1527572800000003
-0.2360000000000001,-0.24070000000000027,-0.15100987200000032
-0.2540000000000001,-0.26110000000000033,-0.16118429600000034
-0.27400000000000013,-0.23132000000000025,-0.1451194160000003
-0.28800000000000014,-0.26078000000000034,-0.18402417600000037
-0.2400000000000001,-0.25120000000000037,-0.16568289600000033
-0.2380000000000001,-0.2511600000000004,-0.17684592800000037
-0.2420000000000001,-0.22536000000000023,-0.1510080000000003
-0.2580000000000001,-0.24904000000000026,-0.1556544000000003
-0.21800000000000008,-0.21944000000000025,-0.1510080000000003
-0.2240000000000001,-0.2225600000000003,-0.1434576000000003
-0.2620000000000001,-0.2649600000000003,-0.16378560000000034
-0.2480000000000001,-0.23248000000000033,-0.17482080000000036
-0.2600000000000001,-0.2485800000000003,-0.1573968000000003
-0.2120000000000001,-0.21964000000000022,-0.1471641600000003
-0.2480000000000001,-0.22420000000000023,-0.1427712000000003
-0.23800000000000013,-0.20776000000000022,-0.13563264000000028
